Device_Version,Description,Max_Char,TR,EN,RU,UKR,FR,SL
1003,1003,1003,1003,1003,1003,1003,1003,1003
2011,2011,2011,2011,2011,2011,2011,2011,2011
1000,#MSG_GROUP_SUPPLY#,7,Besleme,Power  ,Питание,Живл.,Power,NAPAJAN
1000,#MSG_GROUP_SUPPLY#,7,Sensor ,Sensor ,Датчик,Датчик,Capteur,SENZOR
1000,#MSG_GROUP_PHASE#,4,Vr =,Vr =,Vr =,Vr =,Vr =,Vr =
1000,#MSG_GROUP_PHASE#,4,Vs =,Vs =,Vs =,Vs =,Vs =,Vs =
1000,#MSG_GROUP_PHASE#,4,Vt =,Vt =,Vt =,Vt =,Vt =,Vt =
1000,#MSG_GROUP_PHASE#,4,Fr =,Fr =,Fr =,Fr =,Fr =,Fr =
1000,#MSG_GROUP_COMPSTATE#,12,DURACAK,STOPPING,Остановка,Зупинка,ARRET,ZASTAVENIE
1000,#MSG_GROUP_COMPSTATE#,12,IC BAS.YUKS.,HIGH INT.PR.,Выс вх. давл,Вис вх. тиск,PR.INT.HT,VYS VNUT TLA
1000,#MSG_GROUP_COMPSTATE#,12,ON ISITMA BO,PREHEAT OFLD,ПреднагрРазг,ПопереднагрР,OFLD PRECHAU,PREDH V ODLA
1000,#MSG_GROUP_COMPSTATE#,12,ON ISITMA YU,PREHEAT ONLD,ПреднагрНагр,ПопереднагрН,ONLD PRECHAU,PREDH V ZATA
1000,#MSG_GROUP_COMPSTATE#,12,CALISMA GCKM,START DELAY,Задерж пуска,ЗатримкаПуск,DELAI DEMARR,ONESKR START
1000,#MSG_GROUP_COMPSTATE#,12,BOSTA,IDLE,Пусто,Пусто,IDLE,VOLNOBEH
1000,#MSG_GROUP_COMPSTATE#,12,HAVA TAHLIYE,DISCHARGE,Разгрузка,Розвант,DECHARGE,ODLAHCENIE
1000,#MSG_GROUP_COMPSTATE#,12,DURUYOR,READY,Остановлен,Зупинений,PRET,PRIPRAVENY
1000,#MSG_GROUP_COMPSTATE#,12,YUKE GECIYOR,ON LOADING,В загрузке,В завант,EN C. DE CH.,PRECH DO ZTZ
1000,#MSG_GROUP_COMPSTATE#,12,YUKTE,ONLOAD,Загрузка,Завант,EN CHARGE,V ZATAZENI
1000,#MSG_GROUP_COMPSTATE#,12,BOSTA,IDLE,Пусто,Пусто,IDLE,VOLNOBEH
1000,#MSG_GROUP_COMPSTATE#,12,BOSTA,IDLE,Пусто,Пусто,IDLE,VOLNOBEH
1000,#MSG_GROUP_COMPSTATE#,12,Oto. Bekleme,Auto Waiting,Авто ожидан,Авто Очік,Attente Auto,POHOTO REZIM
1000,#MSG_GROUP_COMPSTATE#,12,Motor Yolver,Motor Start,Старт двиг.,СтартДвигун,Dem. Moteur,START MOTORA
1000,#MSG_GROUP_COMPSTATE#,12,BOSTA (S.Kalkis),IDLE (SSL)      ,Мак кол пуск,Макс кіл.зап,IDLE (SSL),VOLNOBEH SSL
1000,#MSG_GROUP_PARAMS#,14,Basinc,Pressure,Давление,Тиск,Pression,TLAK
1000,#MSG_GROUP_PARAMS#,14,Zamanlama,Timer,Таимер,Таймер,Timer,CASOVAC
1000,#MSG_GROUP_PARAMS#,14,Dijital Giris,Digital Inputs,Цифр. входы,Цифр. Входи,Entrees Numer.,DIGITAL VSTUPY
1000,#MSG_GROUP_PARAMS#,14,Dijital Cikis,Dig. Outputs,Цифр выходы,Цифр.Виходи,Sorties Numer.,DIGITAL VYSTPY
1000,#MSG_GROUP_PARAMS#,14,Bakim Sureleri,Maint. Timer,Таимеры ТО,Таймери ТО,Maint. Timer,CASOVAC UDRZBY
1000,#MSG_GROUP_PARAMS#,14,Kalibrasyon,Calibration,Калибровка,Калібруван,Calibrage,KALIBRACIA
1000,#MSG_GROUP_PARAMS#,14,Sicaklik,Temperature,Температура,Температура,Temperature,TEPLOTA
1000,#MSG_GROUP_PARAMS#,14,Sebeke,Mains,Питание сети,Живлення,Reseau,SIET NAPAJANIE
1000,#MSG_GROUP_PARAMS#,14,Genel Ayarlar,General Set.,Общие настр.,Загальні нал,Config. Gener.,VSEOB. NASTAV.
1000,#MSG_GROUP_PARAMS#,14,Invertor Ayar,Inverter Sets.,инвертор настр.,Інвертор нал,Conf. Invers.,NASTAV. MENICA
2004,#MSG_GROUP_PARAMS#,14,Par. Kontrol,Par. Control,Par. Control,Пар.Контроль,Controle Par.,Contrôle Par.
1006,#MSG_GROUP_PRESS#,16,Basinc Sens. Tip ,Press.Sensor Typ,Тип датчи. давл.,Тип датчик тис.,Typ. Capt.Press.,TYP SNIMACA TLAK
1006,#MSG_GROUP_PRESS#,5,P001>,P001>,P001>,P001>,P001>,P001>
1000,#MSG_GROUP_PRESS#,16,Bosa Gecme Bsn. ,Stop Pressure   ,Давл. остан.,Тиск зупинки,Pression Arret,VYPINACI TLAK
1000,#MSG_GROUP_PRESS#,5,P002>,P002>,P002>,P002>,P002>,P002>
1000,#MSG_GROUP_PRESS#,16,Yuke Gecme Bsn.,Start Pressure ,Давл. пуска,Тиск запуск,Pression Demarr.,SPINACI TLAK
1000,#MSG_GROUP_PRESS#,5,P003>,P003>,P003>,P003>,P003>,P003>
1000,#MSG_GROUP_PRESS#,16,Cikis Bsn. Alarm,High Press.Alarm,Трев. Выс. Давл,Трив. Вис. Тиск  ,Alm Press. Ht,ALARM-VYSOK TLAK
1000,#MSG_GROUP_PRESS#,5,P004>,P004>,P004>,P004>,P004>,P004>
